"Berlin";"Berlin";3460725
"Hamburg";"Hamburg";1786448
"München";"Bayern";1353186
"Köln";"Nordrhein-Westfalen";1007119
"Frankfurt am Main";"Hessen";679664
"Stuttgart";"Baden-Württemberg";606588
"Düsseldorf";"Nordrhein-Westfalen";588735
"Dortmund";"Nordrhein-Westfalen";580444
"Essen";"Nordrhein-Westfalen";574635
"Bremen";"Bremen";547340
"Dresden";"Sachsen";523058
"Leipzig";"Sachsen";522883
"Hannover";"Niedersachsen";522686
"Nürnberg";"Bayern";505664
"Duisburg";"Nordrhein-Westfalen";489599
"Bochum";"Nordrhein-Westfalen";374737
"Wuppertal";"Nordrhein-Westfalen";349721
"Bonn";"Nordrhein-Westfalen";324899
"Bielefeld";"Nordrhein-Westfalen";323270
"Mannheim";"Baden-Württemberg";313174
"Karlsruhe";"Baden-Württemberg";294761
"Münster";"Nordrhein-Westfalen";279803
"Wiesbaden";"Hessen";275976
"Augsburg";"Bayern";264708
"Aachen";"Nordrhein-Westfalen";258664
"Mönchengladbach";"Nordrhein-Westfalen";257993
"Gelsenkirchen";"Nordrhein-Westfalen";257981
"Braunschweig";"Niedersachsen";248867
"Chemnitz";"Sachsen";243248
"Kiel";"Schleswig-Holstein";239526
"Krefeld";"Nordrhein-Westfalen";235076
"Halle (Saale)";"Sachsen-Anhalt";232963
"Magdeburg";"Sachsen-Anhalt";231549
"Freiburg im Breisgau";"Baden-Württemberg";224191
"Oberhausen";"Nordrhein-Westfalen";212945
"Lübeck";"Schleswig-Holstein";210232
"Erfurt";"Thüringen";204994
"Rostock";"Mecklenburg-Vorpommern";202735
"Mainz";"Rheinland-Pfalz";199237
"Kassel";"Hessen";195530
"Hagen";"Nordrhein-Westfalen";188529
"Hamm";"Nordrhein-Westfalen";181783
"Saarbrücken";"Saarland";175741
"Mülheim an der Ruhr";"Nordrhein-Westfalen";167344
"Herne";"Nordrhein-Westfalen";164762
"Ludwigshafen am Rhein";"Rheinland-Pfalz";164177
"Osnabrück";"Niedersachsen";164119
"Oldenburg";"Niedersachsen";162173
"Leverkusen";"Nordrhein-Westfalen";160772
"Solingen";"Nordrhein-Westfalen";159927
"Potsdam";"Brandenburg";156906
"Neuss";"Nordrhein-Westfalen";151388
"Heidelberg";"Baden-Württemberg";147312
"Paderborn";"Nordrhein-Westfalen";146283
"Darmstadt";"Hessen";144402
"Regensburg";"Bayern";135520
"Würzburg";"Bayern";133799
"Ingolstadt";"Bayern";125088
"Heilbronn";"Baden-Württemberg";122879
"Ulm";"Baden-Württemberg";122801
"Wolfsburg";"Niedersachsen";121451
"Göttingen";"Niedersachsen";121060
"Offenbach am Main";"Hessen";120435
"Pforzheim";"Baden-Württemberg";119781
"Recklinghausen";"Nordrhein-Westfalen";118365
"Bottrop";"Nordrhein-Westfalen";116771
"Fürth";"Bayern";114628
"Bremerhaven";"Bremen";113366
"Reutlingen";"Baden-Württemberg";112484
"Remscheid";"Nordrhein-Westfalen";110563
"Koblenz";"Rheinland-Pfalz";106417
"Bergisch Gladbach";"Nordrhein-Westfalen";105723
"Erlangen";"Bayern";105629
"Moers";"Nordrhein-Westfalen";105506
"Trier";"Rheinland-Pfalz";105260
"Jena";"Thüringen";105129
"Siegen";"Nordrhein-Westfalen";103424
"Hildesheim";"Niedersachsen";102794
"Salzgitter";"Niedersachsen";102394
"Cottbus";"Brandenburg";102091
